RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
"Bridgeport, CT",msa,CT,273280,275559,276904,279716,281771,284234,286776,289406,292061,294937,298086,301503,304645,307218,309601,312303,314813,316733,318611,320965,323840,326792,329805,332528,335288,338110,341432,344499,347550,350915,354121,357727,360656,364944,369724,374277,377867,381088,384934,390040,395132,399162,402185,404704,409005,412783,416316,419789,423296,426952,430080,433302,437383,441518,445991,450295,454901,461286,468197,473761,477189,480660,485954,491526,496539,501692,505884,509513,510951,512161,514093,517626,520960,523368,524605,527224,528530,528954,527743,525754,523912,523417,522561,521373,517438,516049,513455,513138,511229,510265,508798,506722,505658,504837,502591,500669,498821,498121,495839,492067,489279,486933,484310,480743,475707,470505,465688,459834,453420,448582,444769,441901,436961,433945,431275,431426,429281,427360,424360,422764,420521,418281,417228,418645,420668,421311,420496,417728,414475,408181,401955,398088,398655,398811,397194,393049,391045,391086,391049,389289,386047,384128,383468,382272,381011,379557,379038,379625,380763,380767,380242,379181,379623,379073,377844,374919,374392,374799,377060,380154,384303,387120,387956,387843,388871,388483,389096,390165,393087,396163,397426,398840,397854,398685,398109,397580,396165,395417,395094,395647,392747,391509,391772,394523,396941,397730,399176,399564,398998,397998,396836,397371,399302,401696,404647,404780,404396,401891,399674,396581,393893,392911,394993,398023,401363,400680,400705,400309,402366,401751,401922,402676,403925,405489,407219,408032,406993,406574,407037,407882,405686,405784,406850,409593,411306,412477,412878,413874,412425,412016,411140,412040,412777,410626,408263,406508,406601,408544,409257,409642,409421,408785,408334,408048,407181,408652,411853,418326,426056,434479,442090,448026,453093,457748,463292,467852,476474,487406,498376,504951,507395,510077,514804,518687,521918,526974,532396,540911,547698,555481,560420,563271,564096,562498
"Greenville, SC",msa,SC,129112,129410,129677,130177,130543,130807,131025,131284,131715,132218,132743,132821,132868,132800,133113,133353,133765,134175,134695,134934,135131,135305,135592,135834,136046,136406,136678,136905,136904,137048,137307,137634,137914,138154,138442,138705,138970,139233,139415,139416,139351,139505,139857,140210,140520,140806,141125,141317,141401,141563,141716,141879,142108,142346,142752,142869,143116,143386,143746,144157,144452,144874,145361,145862,146256,146516,146780,147223,147730,148352,148980,149562,150000,150572,151072,151871,152582,153443,154210,155010,155834,156595,157219,157787,158237,158706,158991,159194,159365,159604,159943,160142,160350,160455,160633,160720,160927,160765,160906,160933,161301,161259,161253,161053,160834,160586,159908,159502,159318,159690,159953,159583,159096,158243,157533,156832,156205,155717,154922,154499,154102,154205,154221,154344,154522,154605,154379,154079,153744,153417,152860,152064,150904,149869,149077,148777,148575,148459,148425,148188,147736,147353,147083,146906,146576,146443,146305,146239,145993,146010,146053,146244,146371,146565,146891,147090,147479,147795,148261,148736,149111,149583,149954,150541,150992,151304,151502,151896,152507,153010,153451,153760,154380,154978,155704,156137,156527,156871,157064,157127,157147,157639,158436,159338,160012,160707,161503,162550,163695,164738,165805,166329,166645,166495,166652,167076,167789,168687,169568,170342,171302,172316,173138,173877,174867,176576,178018,179252,180084,180891,181677,182622,183718,184903,186099,187278,188388,189256,190228,191272,192426,193366,194305,195392,196757,197789,199053,200425,201479,202238,202658,203554,204396,205155,205937,206754,207521,208241,208886,209676,210402,210979,211609,212458,213425,214277,215225,216725,218857,220932,223200,225236,227338,229634,231713,234207,236350,239613,243621,247784,251936,256272,261116,266228,271410,277153,282766,289219,295369,301125,304700,307267,308825,310769
"Albuquerque, NM",msa,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143895,144183,144444,144794,145111,145455,145818,146197,146434,146678,146768,146986,147348,147855,148308,148580,148967,149593,150565,151350,152110,152536,153082,153671,154573,155485,156280,156768,157318,157835,158493,159123,159782,160605,161499,162473,163619,165126,166871,169035,171075,173193,175341,177351,179297,181060,183566,186095,188711,190677,192773,194840,196908,198542,199609,200418,201151,201672,202786,203768,205518,206574,207495,207480,207375,207171,207183,206920,206510,205785,204875,203958,202779,201574,200151,198987,197507,195885,194273,192951,192031,190926,190258,189724,189260,188408,187575,186786,186823,186691,186685,186429,186142,186309,185859,185593,184877,184188,183322,181979,180137,178194,176555,176001,175582,175324,174339,173553,172765,172436,171576,171078,170482,170183,169542,169225,168651,168376,168268,168418,168325,167987,168324,169070,169453,169748,169547,169675,169766,170389,171275,172088,172856,173370,174062,174008,174355,174465,175471,176467,177170,177341,177034,176911,176634,176479,176103,176007,176029,176877,177395,177494,177293,177290,177692,177840,178215,178771,179360,179536,179033,178129,177735,178071,179190,180727,181962,182834,183189,183410,183108,182989,183532,184691,185928,186195,186449,186217,186993,187530,188347,188839,189484,190053,190151,190545,190780,191309,192122,193485,194877,195951,196467,196233,196254,196416,197697,198586,199899,200901,201739,202420,203282,204259,205299,206366,207474,208649,209329,210288,211547,213120,214744,216447,218292,220249,221604,223465,225304,227750,230142,233341,236444,240114,243807,247684,250891,254803,259279,264586,268609,272240,275538,279330,283521,288192,292930,297964,302562,306656,310510,312779,314679,315695,317204
"Bakersfield, CA",msa,CA,108255,108292,106986,106011,105186,105717,106082,106369,106833,107309,107658,107941,108121,108511,109019,109653,110528,111305,111962,112459,113135,113958,114652,115155,115583,116194,116941,117742,118440,119266,120395,121969,123642,125448,126847,128262,129287,130441,131848,133816,135945,138480,140412,142603,144811,147089,149312,150972,152828,154790,157250,160060,163858,167677,172761,178648,184547,192552,197067,201388,202913,206671,211011,216383,222634,231925,240637,246815,250849,256671,262322,266745,267055,268200,272235,277137,283037,284302,288200,290107,292325,291677,291850,291964,292446,291043,290075,289213,287995,286035,281073,276494,271378,267561,262990,258124,252974,248515,241808,233919,226078,218417,211363,204216,198221,191728,185054,178833,173530,169236,164897,160879,156633,153899,152184,150092,147476,144515,143877,144379,145440,145527,146266,146265,147164,146380,145125,144141,143236,142616,140870,139442,139245,138243,137358,135752,133828,132155,130728,130280,129811,129215,129338,129968,130884,131856,131791,132796,133653,135189,135789,136436,137552,139329,141520,143597,145587,148169,151109,153636,156277,159668,162739,165802,168147,171345,174704,178270,180838,182386,183523,184947,184878,184394,184191,183934,184564,185422,187408,188570,189258,189837,190497,191185,192045,192779,191945,191889,191583,192634,193482,194414,195326,196206,196590,197213,197201,197901,197377,196820,196141,197364,198500,199647,200847,201802,202770,202959,203344,203971,203980,204584,205577,206791,208135,208993,209886,210944,211805,213664,215424,216811,216913,217094,217422,219176,219752,220846,222170,223610,224597,224722,225402,226510,227314,228202,228614,229100,229821,230325,230985,231891,234400,236585,237407,237695,239851,242909,246166,248345,251218,255438,259690,263562,265752,269651,274029,280082,286548,293897,300704,306465,309834,311549,313350,317929,324001,329776,334248,337947,341209,342899,342721,340479
"Albany, NY",msa,NY,108392,108944,109238,109963,110470,110960,111406,111821,112169,112135,112244,112525,112728,113057,113283,113986,114254,114889,115242,115818,116085,116682,117299,117990,118616,119253,119875,120405,121010,121666,122582,123301,123834,124511,125378,126851,128088,129224,129923,130646,131690,132887,134198,135588,137161,138928,140724,142614,143997,144734,145139,145748,146954,148651,151227,154027,156341,157928,159361,160703,162256,163649,165317,166823,168274,169811,171765,173948,176086,178062,179663,181086,181974,182955,184396,186305,188036,189684,191070,192358,193280,194138,195331,196056,196913,197430,198151,198253,198206,197805,197592,197711,198300,198702,198810,198341,197929,197404,197024,196632,197045,197513,197634,196854,195955,195210,194360,193727,193206,192753,192304,191562,190891,190077,189546,189333,189252,189554,189779,189837,189689,189455,189474,189885,190748,191436,191478,190870,190198,189384,188338,187223,186418,186126,185952,185526,184863,183755,182309,181375,180795,180433,179502,179113,179028,179083,178911,178831,179080,179024,179013,178822,178850,179060,179255,179571,180054,180993,182048,183061,183446,183533,183438,183513,183481,183266,182927,182464,182186,181744,181604,181329,181681,182133,182403,182085,181196,180267,179480,179443,179685,179910,179919,180039,180399,180886,181363,181688,181732,181702,182112,182335,182255,181974,181956,182456,182903,183304,183692,183744,184207,184572,185516,185914,186505,186815,187282,187608,187814,188528,188953,189300,189419,189753,190391,191062,192278,193562,194984,196284,197694,198813,199404,200262,201127,201617,201554,201473,202098,203078,204059,204675,204986,204951,204889,204432,204395,204295,205072,206107,207014,207275,207284,207482,208394,209147,210440,211796,213725,216373,218624,221503,224230,227923,230840,233478,235425,238800,242444,246391,249089,251487,254237,256557,258717,259905,262334,265712,269382,271968,274062,276714,278964,280947
"Knoxville, TN",msa,TN,110549,110807,110966,111258,111441,111604,111753,111984,112243,112532,112884,113383,113975,114394,114681,114963,115207,115469,115691,116059,116406,116749,117027,117308,117555,117789,118051,118275,118609,118878,119189,119408,119679,120002,120435,120909,121303,121695,122031,122452,122773,123165,123478,123926,124374,124856,125308,125749,126301,126873,127421,128046,128679,129478,130274,131079,131921,132657,133384,134174,134918,135658,136392,137437,138595,139570,140628,141689,142747,143695,144636,145772,146705,147666,148523,149495,150553,151770,152987,154067,154976,155723,156464,157229,158076,158743,159214,159726,160239,160713,161015,161315,161526,161460,161341,161051,160463,159903,159389,159334,159255,159176,158948,158482,157925,157701,157419,157032,156417,156125,155950,155647,154679,154121,153357,153062,152394,151844,151219,150944,150989,151082,151355,151578,151808,151888,151656,151407,150846,150476,149958,149422,148711,148395,148050,147827,147265,146641,146333,146317,146453,146147,145795,145304,145074,144736,144617,144741,145171,145534,145734,145661,145680,145785,145929,146222,146331,146524,146568,146771,146716,146695,146730,147073,147535,147975,148387,148479,148575,148796,149355,149840,150260,150379,150692,150880,151091,151006,151084,151374,151566,151582,151661,152179,152837,153277,153682,154075,154642,155419,156315,157153,157871,158335,158948,159094,159341,159473,159871,160256,160952,161615,162446,163009,163664,164226,164936,165682,166696,167734,168927,169666,170335,170797,171647,172535,173383,174307,175326,176412,177437,178419,179424,180227,180859,181718,182535,183696,184921,186411,187512,188770,189669,190612,190903,191523,192410,193523,194654,195600,196879,198440,200222,201671,203004,204005,205190,206556,208717,211239,214186,217164,220424,223679,227006,230783,235308,240200,245896,251662,257551,263009,267973,274328,280278,287434,292572,299031,304602,311214,315025,318166,320017,322337
"McAllen, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77645,77673,77587,77825,77864,77997,77832,77909,77960,78005,77973,77970,78025,77889,77937,77934,78157,78128,78093,78075,78082,78034,77723,77495,77370,77431,77536,77651,77745,77753,77742,77620,77487,77287,77330,77258,77086,76818,,,,,83493,84516,85413,86140,85756,85141,84602,83972,83993,83924,84068,83922,83893,83819,83510,83059,82645,82586,82797,82899,82872,82793,83070,83572,83980,84200,84529,84911,85219,85263,85457,86092,86924,87797,88375,88689,88734,88771,89079,89765,90539,91159,91575,92054,92091,92598,93116,94222,94806,95116,94972,95002,95091,95534,95692,95975,96236,96683,96949,97453,97950,98418,98515,98768,99031,99549,100040,100780,101309,101720,101953,102322,102708,103107,103690,104140,104698,105179,105774,106313,106719,107171,107354,107221,107092,107183,107530,107682,107804,108239,108909,109719,110324,110956,111476,112073,112614,113036,113699,114191,114686,114976,115249,115727,116085,116689,117394,118018,118823,119232,119750,119530,119677,120106,121324,122489,123397,124036,124485,124990,125736,126755,127998,129363,130901,132216,133519,134663,135414,136159,137353,139190,141201,143230,145668,148264,150977,153450,155814,157862,160280,162538,165200,167840,170467,173063,174920,176651
"Baton Rouge, LA",msa,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,130941,134516,134945,136910,135224,134528,133639,134194,134718,135193,135414,135298,134024,132698,131600,131784,132285,132870,133257,133400,133576,133903,134283,134629,135068,135689,136595,137368,138344,138926,139623,140320,141120,141853,142357,142888,143732,144629,145904,147194,148607,149731,151080,152471,154064,155899,157897,159974,161629,163187,164837,166554,168627,170188,171371,172516,173574,174380,174779,175364,176206,176504,176895,177127,177686,178157,178614,179194,179332,179305,178991,179326,179633,180170,180195,179837,179345,178615,178460,177679,177133,176214,175897,175867,176010,175985,175659,175731,175600,175914,175870,176409,175863,175764,175475,175584,175358,175151,175288,175173,174588,174246,173800,173510,172566,170832,168980,166929,165580,164505,164147,164526,164983,164813,164666,163943,163285,162583,161985,162255,162347,163394,163840,163662,163114,163017,163079,162905,162729,162897,163882,164981,166031,166329,166176,166227,166683,167324,167816,168451,169226,170091,170709,170615,170515,170091,170083,170112,170389,170783,171212,171416,171505,171716,172195,172980,173389,174019,174233,174781,174914,175322,175546,175831,176445,176982,177096,176475,176280,176571,177098,177248,177440,177810,177870,177918,178039,177886,177432,177118,177828,178982,180032,181165,182361,183908,185502,187170,189277,191451,193195,193419,192821,191983,191761,191331,191141,190734,190258,189361,188991,188935,189239,188697,188088,187580,187504,187657,187560,187241,186801,186673,187169,188099,189288,190673,191864,192098,191788,191532,191736,192041,192314,193677,194813,196224,197018,198035,199050,200740,203102,205390,207733,209480,211649,213554,216127,218702,221643,225026,228538,231530,233781,235263,236362,237387,238322
"North Port, FL",msa,FL,141434,141874,142336,143418,144232,144902,145544,146506,147566,148513,149347,150307,151249,152334,153543,154819,156191,157709,159561,161381,163095,164416,165592,166922,168370,170117,171458,172866,174236,175708,177085,178416,179859,181503,183198,185193,187439,189670,191499,193105,194747,196381,197986,199857,201960,204044,205872,207688,209437,211337,213658,216409,219431,222699,225963,229858,233446,237440,241192,245272,249537,254247,260825,268201,276325,284697,292928,300580,306654,312594,317346,322932,328841,333717,336660,339161,342889,346766,347442,346237,343382,339979,336593,331477,326005,321042,316832,312780,306801,301305,296252,291040,285802,280584,275858,270917,264752,259528,255003,251760,247897,243141,238882,234137,229401,223656,219433,215503,212297,208487,204610,200499,196720,193363,190623,188383,186843,186405,186105,185848,184844,184565,184669,185652,185427,184901,183929,183263,182257,180746,178748,177634,176701,175950,174451,173085,171928,171007,169744,168730,168179,167954,168301,167934,168003,168306,169468,170211,170677,170968,172483,174048,175472,176530,178078,180171,182441,184238,186223,188045,190116,192355,194320,196759,199185,202457,204848,206621,207687,209662,211116,212460,213212,213894,214441,214563,215623,217148,219331,221282,223321,224897,226632,227952,229610,231155,232777,235549,238211,240932,242316,244091,245508,246914,247806,249211,250655,252282,254161,255363,256642,257081,258380,259392,260107,260115,260065,260665,261709,262971,264321,265837,266118,266056,265804,266253,266613,266716,267819,269413,271220,272175,272462,272843,273446,274254,275070,275612,276634,277652,278074,277870,277375,277640,278690,278927,279024,278576,279142,279812,281258,281649,283234,284798,287128,287874,287499,288558,291808,296256,299556,302319,306484,310978,315328,319817,327276,338146,351230,364778,376522,387722,398303,409537,419453,433272,448916,467313,481748,494207,500236,501283,497874,495656
"New Haven, CT",msa,CT,149490,150453,151312,152302,152872,153438,154536,155764,156916,158241,159498,160509,161157,161857,162919,164314,165599,166671,167775,170068,172445,175056,176558,177591,178072,178896,180301,182216,184480,186947,189416,191087,191995,193614,195664,198163,200022,201168,202605,204590,207293,209941,212433,214407,216535,217823,220301,222691,224899,226087,227207,229346,232492,236248,239849,242571,245089,247625,250888,253669,255317,256311,257930,260695,264066,266936,269499,272885,276948,281994,286185,288747,289804,288365,290797,292397,296177,296395,297577,297298,297348,296497,295455,294754,295443,296363,296681,295635,294418,292912,291639,291065,290685,290034,288503,286510,282898,279161,274745,272445,271517,271886,271076,268803,265681,262636,260705,259075,257730,257377,256483,255420,252223,248819,245835,244361,243337,242282,240735,239875,239498,239904,240450,242134,242875,243706,242975,242002,240176,237939,235372,232860,231602,230940,230583,229689,228585,227070,224990,222887,220946,218995,217298,215401,214264,213501,213484,213352,213021,211936,210807,210026,209216,208646,208135,208582,209375,210259,211756,213616,214490,214617,214048,214254,214552,214749,214960,215047,214755,214753,213691,212726,212071,212844,213784,213218,211858,211245,211286,210872,210725,211028,212743,213908,214500,213343,212130,211261,211775,211361,210556,209622,209774,209704,209016,208332,208324,209173,209854,209979,209638,209571,210103,211134,211263,211793,211988,212881,213381,214210,215121,215631,215977,216671,218363,219447,220299,220487,221146,221743,222526,222984,223297,224000,224848,225825,225899,226834,226576,227129,227349,228131,228709,228882,229200,229151,229153,228458,228603,228463,229633,230598,232216,233803,234666,234772,235971,238801,243833,248748,253668,257869,260932,264800,268888,273918,278767,285184,291309,295427,296623,297704,298940,301281,304982,310835,316015,320366,322978,325294,326885,328315,329636,330450
"Columbia, SC",msa,SC,115135,115632,115985,116726,117216,117662,118016,118370,118920,119452,120047,120327,120727,121050,121447,121720,121924,122261,122507,122894,123030,123299,123559,123867,124040,124082,124255,124445,124650,124673,124907,125104,125441,125677,126030,126371,126725,127127,127526,127893,128229,128566,128981,129539,130018,130406,130642,130949,131308,131644,132019,132344,132773,133281,133899,134575,135165,135674,136136,136671,137122,137498,137864,138415,139146,139866,140642,141337,142046,142621,143108,143623,144261,144984,145698,146366,147004,147684,148513,149200,149679,149858,150136,150579,151051,151417,151759,152077,152568,152935,153250,153472,153542,153591,153590,153745,153944,154357,154530,154718,154743,154709,154406,154121,154057,154142,,150713,,148680,148922,149184,149189,148990,148965,149069,148897,148698,148547,148522,148268,147787,147462,147490,147843,147961,147894,147583,147124,146445,145935,145339,144996,144445,143980,143252,142646,141887,141223,140421,139746,139085,138340,137710,137312,137220,137069,136923,136602,136206,135669,135069,134724,134391,134305,134062,133786,133579,133482,133270,132903,132860,133039,133543,133986,134454,134780,135083,135357,135506,135537,135721,135691,135713,135574,135702,135501,135347,135339,135350,135380,135356,135602,135753,136070,136401,136922,137240,137637,138216,138559,138568,138763,139314,140155,140690,141243,141587,141986,142419,143039,143268,143681,144443,145351,146173,146589,147355,147920,148283,148333,148299,148421,148549,148818,149181,149645,150502,151248,151840,152110,152463,153022,153428,153939,154417,155300,156273,157277,157720,157942,158231,158793,159465,160059,160571,161042,161670,162303,162893,163322,163859,164543,164995,165747,166555,167763,168820,170075,171522,172869,174142,175657,177576,179817,181922,184615,187877,191683,195449,199027,202493,205769,209169,212760,216760,221080,225698,230048,233742,236691,239044,240746,242011
"Allentown, PA",msa,PA,118175,118694,119355,120504,121447,122204,122748,123324,123714,124229,124959,125808,126669,127366,128157,128806,129341,129674,130184,130743,131278,131838,132496,133338,134049,134740,135303,135946,136676,137565,138625,139646,140726,141880,143050,144170,144962,145758,146598,147824,149413,151182,152868,154583,156393,158178,159634,160977,162209,163662,164924,166381,167901,169653,171631,173314,174996,176716,178887,180833,182471,184221,186141,188291,190341,192832,195616,198632,201367,204166,206843,209054,210747,212323,214171,216392,218277,220643,222165,223630,224300,224984,225602,225952,225994,226152,226653,227510,227485,227133,226662,226467,226371,226153,225961,225423,224658,223868,223052,221972,220952,220063,219373,218209,216913,215719,214734,213577,212369,211015,209825,208800,207168,205281,203421,202332,201671,201013,200472,200329,200427,200647,201349,201859,202881,202657,202071,200383,198771,197220,196033,195203,194495,193282,191699,190006,188773,187721,186329,185346,184382,183640,182381,181308,180760,180105,179413,178648,178095,177752,177735,177692,177787,177624,177741,177418,177348,177508,178375,179294,180342,180681,180902,181044,181394,181391,181275,181712,182366,182915,183080,183051,183212,183877,184418,184583,183909,183482,183126,182932,182727,182218,182178,182545,183689,184160,184327,184141,184271,184274,184346,184504,184779,185685,186227,186811,187016,187514,187955,188238,188272,188262,188568,189096,189938,190685,191372,191683,191918,192348,192887,193450,194080,195118,195906,196887,197656,198986,200062,201308,202384,203490,204439,205203,205931,206754,207530,208280,209134,209589,210126,210172,210785,211266,211706,211762,211970,212300,212991,213280,214277,215171,216395,217380,218131,219145,220594,223009,225975,229322,233023,236996,240424,243930,247010,250659,254701,259532,263727,267511,270893,274072,277083,279926,283387,286878,290784,294631,297706,299892,301831,304257,306862,309082
"El Paso, TX",msa,TX,95071,95151,95204,95273,95310,95334,95288,95207,94523,93747,92796,92575,92481,92479,92075,91805,91525,91422,91260,91111,91097,91011,90952,90643,90404,90269,90408,90482,90656,90762,91089,91308,91619,91934,92219,92649,92836,93085,93129,93217,93290,93447,93766,94277,94737,95127,95561,95917,96457,97296,98454,99599,100465,101615,102785,103765,104232,104786,105279,105552,106154,106842,107906,108311,108748,109094,109673,110452,111346,112179,112842,113433,114015,114671,115695,117003,118501,120121,121721,123545,125470,127658,129237,130113,129745,130032,130033,131524,132673,134769,136156,137034,137272,137431,138124,138701,137813,136398,134893,134604,134074,133497,132506,131583,131100,131113,131007,130431,129941,129810,129550,128876,128185,127745,127642,127534,127276,126998,126931,127247,128307,128836,129247,128587,128734,128405,128177,127614,127564,127093,126659,125935,125661,125405,125580,126042,125927,125379,124918,124789,124593,124162,123855,123851,124074,123706,123283,122512,122428,122363,122632,122708,122463,121807,121370,121622,122215,122918,123143,123318,123279,123260,123015,122826,122835,123214,123630,123793,124009,123985,124423,124216,124093,123253,122816,122609,122603,122428,122050,122041,122082,122136,122182,122515,122935,123341,123427,123341,122770,122644,122578,122911,122946,123033,123266,123485,123647,123395,123288,123508,123985,124509,125209,126099,126798,127299,127562,128312,128805,129164,129054,128947,128893,128784,128468,128335,128237,128323,128159,128063,128008,128732,129456,130106,130535,131138,131791,132174,132549,133257,134179,135253,136382,137492,138232,138730,137889,136839,136166,136731,137779,138742,139202,139424,139535,139964,140814,141782,143558,145673,147726,149485,151303,153126,155189,157082,159955,162927,166101,168942,171839,174189,176246,177961,179976,181957,184119,187564,191210,194856,197152,198973,200348,202060
"Oxnard, CA",msa,CA,257872,258803,260051,262351,264682,267071,270164,273358,276537,279453,283043,286387,289225,291380,293919,296340,298683,300988,303125,305022,306805,309052,311985,314931,317713,320377,322926,325897,329134,332903,338235,343763,350571,355839,362043,367637,372945,378072,383721,391114,398420,404239,408301,413055,419001,426190,434455,442720,451518,457125,463106,471486,484406,497997,510908,519852,529182,535654,543005,550823,559318,566876,573373,580959,589829,594949,599371,604812,613955,623030,629669,634123,635551,636660,641677,649667,656091,658144,657701,656025,651270,646155,639418,633811,628833,625647,623993,620820,616292,610857,601857,595696,584014,577625,567798,556451,544023,535972,528366,517115,502177,491740,482886,473360,466958,459623,452743,445940,440993,436426,429987,426382,424356,425214,424861,424968,420986,416275,414968,417082,421852,424149,428872,430419,431021,427248,424997,424519,425283,425766,425356,422835,418218,415020,411188,409530,406427,406054,405334,402000,398384,393911,391771,388452,384913,380530,379246,379103,379987,380087,379463,380293,381315,385675,390980,397535,403518,412328,419111,426240,432226,441872,453475,460719,466466,471766,477132,484553,489973,496132,498949,499776,499862,499890,497911,495240,492285,493224,496487,499429,501801,504035,504430,505235,506431,508947,509943,511495,513422,517120,522044,525437,527445,526954,529888,532633,534870,536229,538759,541834,544820,548151,550396,551225,553580,558335,561272,564010,565787,569438,569141,568506,568307,571069,573646,577773,583227,588024,591811,589693,589924,591197,594106,597561,599813,601870,601638,601020,601009,600788,600939,602282,602980,601580,599853,599816,601739,604351,605039,608052,610685,611605,610884,610330,612092,612526,615637,620049,630214,637698,644709,649570,657622,664158,672769,681188,701236,722153,743718,760099,771144,776238,780310,786465,798399,815815,834251,852095,859624,860021,855752,849083,845128,838230
